transactionDate	amount	type	accountNumber	description	id
2024-04-18 17:17:03	874.68	debit	SE6004344140057068003702	The slim & simple Ma...	6868a735-9f07-43b8-a35f-23503a169ca6
2024-04-06 14:33:11	891.41	debit	583171828425162451954280	Boston's most advanc...	3ee51913-30da-4a95-be17-bcc82c1ba4a7
2024-03-20 12:16:18	762.03	credit	8003061171859944	New range of formal ...	78925407-f790-4b79-93c8-0152af554a26
2024-03-16 11:00:24	206.78	credit	530438596263383142214232	The Football Is Good...	51677c8f-a2fb-4cce-9ca8-0d76e51aa7b2
2024-03-15 07:39:43	90.21	credit	AZ90JVDD07641020002185500115	The slim & simple Ma...	24df9a44-c35f-4e2c-8875-11038e23db8e
2024-02-06 13:55:50	2.15	debit	0235576663258863	The slim & simple Ma...	c1264ee0-06ce-4c87-b05e-a5cc97f33b31
2024-01-04 20:25:44	222.88	credit	838277022116648095237600	Carbonite web goalke...	96e96983-920e-4357-80b5-cb4b51b8f25e
2023-11-26 10:14:23	574.83	credit	8564098911261510	The Apollotech B340 ...	30fc4774-7c00-4409-a48c-a11d8099df02
2023-10-27 09:05:06	400.9	credit	SI91209386097400657	The Football Is Good...	77492252-d6f2-4533-9a24-50080c3a1cc4
2023-10-11 11:25:15	444.11	debit	235776037439782912845169	The automobile layou...	a4296e49-3907-405f-8b41-473629142398
2023-10-06 19:04:45	128.55	credit	497465103320123353585710	The Football Is Good...	9966a3e7-eab0-4542-b89a-68fd8f309127
2023-09-21 07:23:09	975.3	debit	DO69BDSY00100427973003800304	New range of formal ...	9f9d9a0c-8b4e-444f-9d51-923634939852
2023-09-11 23:13:08	887.35	debit	1312657448897038	Andy shoes are desig...	3d37260f-308d-49e8-bac7-a22575e32f92
2023-09-04 04:52:40	5.78	credit	6986677633992840	Carbonite web goalke...	52fc9b94-1047-4653-acc0-2285e8a61c36
2023-08-26 10:53:09	184.48	credit	MD173247678217Z36QP11454	The automobile layou...	9d7866d2-15ba-4d84-b843-ba0db4a5fcbc
2023-08-03 10:39:11	635.05	debit	0783603114001897	New ABC 13 9370, 13....	09c959f6-32fe-405c-8416-c3e4c6dc1769
2023-07-27 11:57:40	935.74	debit	812549502197771190751123	Carbonite web goalke...	ebf7e120-b89e-427b-ac81-851d96d655df
2023-07-14 18:16:05	611.78	debit	ME76562465613888003404	The Apollotech B340 ...	867c02a2-f17e-4b9e-a6df-7bcecf35e3b2
2023-06-18 17:33:06	853.96	debit	9398360463732923	The beautiful range ...	fde9d95a-8520-47ff-9fa0-e5f3ee1a0935
2023-06-12 20:30:28	958.33	debit	489856487401465435829464	New range of formal ...	23f04232-9a8a-4021-94eb-89109bd18a97
2023-06-11 23:06:39	408.42	debit	0972564590161601	The slim & simple Ma...	4f22b781-85c6-4b4f-919a-9f0eaedd48de
2023-06-06 23:40:05	747.8	debit	665044522118419592300946	Boston's most advanc...	caf319bc-90cd-4414-9462-2fa657dfb0a7
2023-06-06 09:31:55	871.31	credit	FR0326769664887S32448G00929	The Nagasaki Lander ...	6e1cc344-2151-4dd2-b03b-8d3bc3513d16
2023-03-31 08:06:02	711.93	credit	264996462305501214191290	Ergonomic executive ...	0ab87a67-8ca9-483a-bc8e-d4b58a535b18
2023-03-19 22:50:38	742.42	debit	TL570541900600226450601	The automobile layou...	0cf94655-f02b-4f16-9717-eb2956cff4c7
2023-03-10 07:33:51	23.6	debit	653916506510558740450762	The beautiful range ...	e62b7b39-0add-485d-9a41-76bb336e7139
2023-03-05 18:15:46	604.25	credit	4184988436687107	Ergonomic executive ...	14261665-97c8-4205-a6b5-93b832d2e45d
2023-03-05 08:02:01	161.67	debit	2916451962677060	Carbonite web goalke...	ab1d0293-cfc0-4abd-a271-691bf265601f
2023-02-03 04:57:30	40.56	debit	4326223710857159	Andy shoes are desig...	d5484b57-2bdc-438f-9ca4-6469ac563c92
2023-01-28 01:12:02	54.8	credit	0252976268017564	Andy shoes are desig...	7d7aa11f-2a50-463f-b6cf-fe09274873b4
2022-12-30 05:28:43	187.38	credit	965951916176015242066450	The Apollotech B340 ...	6925a65e-940e-40c4-9769-009dc1f86544
2022-12-21 19:58:37	731.54	debit	0274998040998407	Carbonite web goalke...	c73cd855-24d7-46ea-8255-82229577f49c
2022-12-15 17:04:55	680.6	credit	PK16GNNK0015410008003428	The slim & simple Ma...	9706ebe2-ed39-4920-b93e-c7971e0268dd
2022-12-04 09:25:54	775.66	debit	5726241515919869	Carbonite web goalke...	6dcacf5d-6b6a-4f74-a044-c48c1cd35cf5
2022-11-17 21:24:23	263.71	credit	504322645748273436904075	Andy shoes are desig...	7564de21-8f78-4674-b608-edd4fdca3081
2022-10-27 18:42:07	789.4	credit	2136050014118204	The slim & simple Ma...	050d8de4-5809-48d0-9b7b-290fcd58aa28
2022-09-11 19:45:28	740.76	credit	0347762486912136	Andy shoes are desig...	2fdc72a6-ec9f-4422-8e19-e1532fcec94c
2022-08-12 16:12:16	745.86	debit	912970567935919260882510	Boston's most advanc...	e87d1d5c-e34a-41c2-ae9d-d1de2f0091a1
2022-08-01 16:08:10	994.7	credit	379378804045488722025385	Andy shoes are desig...	7169c9cc-0eed-4591-98ae-ccf4db7393b5
2022-05-05 21:44:30	781.38	credit	693428561004774236236089	New ABC 13 9370, 13....	06615739-c8ec-46e1-989a-86694c4e8d6a
2022-03-29 09:46:51	659.34	credit	CZ8202130030480609008058	The automobile layou...	0e15012c-9379-4297-8464-6f8ddddfba4c
2022-02-25 00:38:48	404.53	credit	SE3867004925699005400129	The slim & simple Ma...	1e47ef84-ca1d-4920-8207-7f41bd1336f2
2022-02-04 03:24:54	421.54	credit	BG14AOAG506003864276LT	The slim & simple Ma...	0f030d14-f697-4c2c-8c7d-dce4e457d33d
2022-01-15 15:10:57	865.09	debit	RO28QBJH21KC2P391170N89G	New range of formal ...	b910826d-1c9f-4a10-9bc9-650c498831c5
2021-12-13 16:53:46	887.68	debit	619163008131843114983732	The Football Is Good...	4242d404-50e3-48d7-bb9e-6087b6142c2a
2021-12-02 19:55:25	14	credit	0436183341506547	The Nagasaki Lander ...	d421cd60-44ed-4cdc-bebc-d22c41e23877
2021-11-24 18:33:16	62.36	credit	0878391845798709	New ABC 13 9370, 13....	325f2354-2d97-40b0-832f-77fe99210da4
2021-09-22 08:14:31	460.36	debit	7444529772769106	The slim & simple Ma...	0e029d45-cb0b-46d2-b06c-d9ad78861b23
2021-06-29 10:36:50	351.65	debit	8269363260483045	Boston's most advanc...	1628dbb3-3840-488c-bfa7-16af1fa4aae2
2021-05-22 23:28:55	10.06	credit	BE51369301589608	Ergonomic executive ...	67fea000-8a39-4cd6-88e7-9b891199010e
2021-04-26 22:59:50	989.53	debit	CR52900205107004008017	The Apollotech B340 ...	f3a6b880-130f-4c7b-91d6-1da7c76b8835
2021-04-18 11:52:34	709.79	debit	687217276345383732162213	Boston's most advanc...	18123e6e-d834-4961-b969-8d2694ded4aa
2021-03-25 05:00:05	57.78	credit	7608186476260042	The automobile layou...	763fbf0a-1827-4a05-82af-aeef70d1b5f2
2021-02-28 10:16:20	89.17	credit	NL24CFJV0560003534	The Apollotech B340 ...	178c5e98-9193-48c0-a77e-7b2cb8faeec8
2021-01-18 12:26:40	525	credit	BG17REGY0084113302A007	Initial deposit to a...	39581d9e-85ad-482e-a3a8-213a6019c307
2020-11-30 14:51:45	358.28	credit	231509181608181883732386	Boston's most advanc...	32d599b2-f704-4324-93c4-5388f81eae3b
2020-11-11 05:59:48	889.61	credit	PK36NPJY0780708609960006	New range of formal ...	ceb36f3c-292c-4c33-b544-674af4760f53
2020-10-26 04:40:59	451.04	debit	KZ0703294Y43934L825E	The automobile layou...	916e5df6-d281-452a-b3b8-7161fc745ffe
2020-10-22 02:11:36	719.71	debit	KW86MAQW9C682V748100F896942413	New range of formal ...	448d411d-afec-4362-9da2-4ea4106c3c57
2020-10-18 00:00:58	253.51	credit	NL50FHUH3005800195	Boston's most advanc...	6cde4455-03b5-4314-96ba-f0e257061031
2020-10-17 08:25:57	504.33	credit	GI33RADPG528J51K2U4L811	The Nagasaki Lander ...	6e74218e-a565-498c-a2b8-b9d2ef86a3f9
2020-09-29 21:56:07	486.25	debit	DE69004553026430040077	The Nagasaki Lander ...	9b1f957c-672b-4949-8fa1-345ec5ef7355
2020-09-19 17:05:00	956	credit	IS055846110500404007126045	Initial deposit to a...	c9415aca-c3bf-45ef-836d-9ad13b1568f8
2020-08-29 02:13:36	998	credit	834676367426744864682948	Initial deposit to a...	0336944b-13f1-4cb8-9160-63d02099af0b
2020-08-19 19:24:09	807.59	debit	FI9500558807008562	Boston's most advanc...	051a8d24-7ccd-4899-81f9-ec256bbc43e5
2020-08-18 16:37:25	439	credit	054254104927198240561649	Initial deposit to a...	29158f82-b177-4ebf-a66d-949ef048bb6e
2020-07-29 01:30:49	328	credit	2889160665254908	Initial deposit to a...	0071d395-962f-46a8-b50f-b273fab4d2cb
2020-06-30 21:17:19	850	credit	BR6409000969224313686715793I2	Initial deposit to a...	edd3cb9a-3550-4021-90a0-b98d3c1b149e
2020-06-30 17:18:32	898	credit	FO1471633005580090	Initial deposit to a...	dbf0a73f-7f55-47f6-8d2c-331e888687e5
